host_time_s,front_ps_data,rear_ps_data
6.050947300000189,45.0,56.0
6.0539574000003995,52.0,57.0
6.056861100000788,52.0,57.0
6.060020100000656,52.0,57.0
6.062922699999945,52.0,57.0
6.065906100000575,57.0,57.0
6.070512199999939,51.0,50.0
6.072912300000098,51.0,50.0
6.075992800000677,51.0,50.0
6.078931400000329,51.0,50.0
6.081944300000032,51.0,50.0
6.0851142999999865,51.0,50.0
6.0904802000004565,45.0,45.0
6.093116300000474,45.0,45.0
6.095959700000094,45.0,45.0
6.098883999999998,45.0,45.0
6.101987700000791,46.0,45.0
6.104954700000235,46.0,45.0
6.107968600000277,46.0,45.0
6.111703999999918,45.0,45.0
6.1149075000002995,45.0,44.0
6.117983200000708,45.0,44.0
6.120987799999966,45.0,44.0
6.123880000000099,45.0,45.0
6.127048400000604,46.0,45.0
6.129935800000567,46.0,45.0
6.133714399999917,45.0,45.0
6.13696980000077,45.0,45.0
6.13997400000062,43.0,45.0
6.143021500000032,43.0,45.0
6.145944100000634,43.0,45.0
6.148952500000632,43.0,45.0
6.1519874000005075,43.0,45.0
6.155712300000232,45.0,45.0
6.159088299999894,45.0,45.0
6.162008000000242,45.0,45.0
6.164972000000489,45.0,45.0
6.1681422999999995,45.0,45.0
6.170970900000611,45.0,45.0
6.174194400000488,45.0,45.0
6.177792899999986,45.0,45.0
6.180962400000681,45.0,45.0
6.184025500000644,45.0,45.0
6.186965100000634,45.0,44.0
6.19094640000003,45.0,44.0
6.194080199999917,45.0,44.0
6.196960400000535,45.0,45.0
6.19993390000036,45.0,45.0
6.202970500000447,45.0,45.0
6.206092700000227,45.0,45.0
6.209106900000734,45.0,45.0
6.211966600000778,44.0,45.0
6.21495589999995,44.0,45.0
6.218816200000219,45.0,45.0
6.221967100000256,45.0,44.0
6.225008000000344,46.0,44.0
6.228160800000296,46.0,44.0
6.230923200000689,46.0,44.0
6.233961700000691,46.0,45.0
6.236934600000495,46.0,45.0
6.240671100000327,45.0,45.0
6.244195900000705,45.0,45.0
6.247043100000155,45.0,44.0
6.249992300000486,44.0,44.0
6.252989900000102,44.0,44.0
6.256036800000402,44.0,44.0
6.258985299999949,44.0,45.0
6.262028800000735,45.0,45.0
6.264930400000594,45.0,45.0
6.268098500000633,45.0,45.0
6.270967600000404,45.0,44.0
6.273894800000562,45.0,44.0
6.27713120000044,45.0,44.0
6.280086700000538,45.0,44.0
6.2829750999999305,45.0,45.0
6.286059000000023,44.0,45.0
6.29002120000041,44.0,45.0
6.293059300000095,44.0,45.0
6.295963600000505,44.0,45.0
6.298962000000756,45.0,45.0
6.302102200000263,45.0,45.0
6.304930600000262,45.0,45.0
6.308007500000713,45.0,45.0
6.310940900000787,44.0,45.0
6.3139028000005055,44.0,45.0
6.31700230000024,44.0,45.0
6.319991800000025,44.0,45.0
6.322912500000712,46.0,45.0
6.326774699999987,45.0,45.0
6.329965400000219,45.0,45.0
6.332998599999883,45.0,45.0
6.336394900000414,43.0,45.0
6.3389184000006935,43.0,45.0
6.342078000000583,43.0,45.0
6.34494690000065,43.0,45.0
6.348683100000017,45.0,45.0
6.352083700000549,45.0,45.0
6.354933000000528,45.0,45.0
6.357975100000658,47.0,45.0
6.361068600000181,47.0,45.0
6.363989299999957,47.0,45.0
6.366970200000651,47.0,45.0
6.370746399999916,45.0,45.0
6.373977400000513,45.0,45.0
6.377066300000479,45.0,45.0
6.3799690000005285,45.0,45.0
6.382984100000613,46.0,45.0
6.386107400000583,46.0,45.0
6.3907050000007075,45.0,45.0
6.394108600000436,45.0,45.0
6.396976400000312,42.0,45.0
6.400026000000253,42.0,45.0
6.403150400000413,42.0,45.0
6.405924800000321,42.0,45.0
6.40907210000023,44.0,45.0
6.4127472000000125,45.0,45.0
6.416180000000168,45.0,45.0
6.419049600000108,44.0,45.0
6.421941500000685,44.0,45.0
6.424987500000498,44.0,45.0
6.4281040000005305,44.0,44.0
6.43096130000049,44.0,44.0
6.435546100000465,45.0,45.0
6.4379187000004094,45.0,46.0
6.440910700000131,45.0,46.0
6.444174000000203,46.0,46.0
6.446945100000448,46.0,46.0
6.449922600000718,46.0,46.0
6.453015200000664,46.0,46.0
